"date_time";"value"
"2016-06-02 20:40:00";1.298
"2016-06-02 21:05:00";1.37
"2016-06-02 21:30:00";1.435
"2016-06-02 21:55:00";1.494
"2016-06-02 22:20:00";1.492
"2016-06-02 22:45:00";1.568
"2016-06-02 23:10:00";1.691
"2016-06-02 23:35:00";1.784
"2016-06-03 00:00:00";1.825
"2016-06-03 00:25:00";1.833
"2016-06-03 00:50:00";1.822
"2016-06-03 01:15:00";1.864
"2016-06-03 01:40:00";2.137
"2016-06-03 02:05:00";2.434
"2016-06-03 02:30:00";2.721
"2016-06-03 02:55:00";3
"2016-06-03 03:20:00";3.271
"2016-06-03 03:45:00";3.534
"2016-06-03 04:10:00";3.79
"2016-06-03 04:35:00";4.037
"2016-06-03 05:00:00";4.277
"2016-06-03 05:25:00";4.753
"2016-06-03 05:50:00";5.046
"2016-06-03 06:15:00";5.556
"2016-06-03 06:40:00";5.962
"2016-06-03 07:05:00";6.145
"2016-06-03 07:30:00";5.48
"2016-06-03 07:55:00";4.979
"2016-06-03 08:20:00";4.675
"2016-06-03 08:45:00";4.422
"2016-06-03 09:10:00";4.081
"2016-06-03 09:35:00";3.724
"2016-06-03 10:00:00";3.386
"2016-06-03 10:25:00";3.074
"2016-06-03 10:50:00";2.779
"2016-06-03 11:15:00";2.51
"2016-06-03 11:40:00";2.267
"2016-06-03 12:05:00";2.047
"2016-06-03 12:30:00";1.844
"2016-06-03 12:55:00";1.665
"2016-06-03 13:20:00";1.508
"2016-06-03 13:45:00";1.369
"2016-06-03 14:10:00";1.254
"2016-06-03 14:35:00";1.147
"2016-06-03 15:00:00";1.048
"2016-06-03 15:25:00";0.958
"2016-06-03 15:50:00";0.874
"2016-06-03 16:15:00";0.795
"2016-06-03 16:40:00";0.719
"2016-06-03 17:05:00";0.646
"2016-06-03 17:30:00";0.576
"2016-06-03 17:55:00";0.512
"2016-06-03 18:20:00";0.453
"2016-06-03 18:45:00";0.41
"2016-06-03 19:10:00";0.371
"2016-06-03 19:35:00";0.337
"2016-06-03 20:00:00";0.305
"2016-06-03 20:25:00";0.277
"2016-06-03 20:50:00";0.251
"2016-06-03 21:15:00";0.228
"2016-06-03 21:40:00";0.207
"2016-06-03 22:05:00";0.187
"2016-06-03 22:30:00";0.18
"2016-06-03 22:55:00";0.175
"2016-06-03 23:20:00";0.17
"2016-06-03 23:45:00";0.165
"2016-06-04 00:10:00";0.16
"2016-06-04 00:35:00";0.155
"2016-06-04 01:00:00";0.15
"2016-06-04 01:25:00";0.146
"2016-06-04 01:50:00";0.142
"2016-06-04 02:15:00";0.137
"2016-06-04 02:40:00";0.133
"2016-06-04 03:05:00";0.129
"2016-06-04 03:30:00";0.125
